symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
BEAM-LSI,BEAM,LSI,196.52701897602543,0.14743986005936466,19.960000000000001,606405.0,Distillers & Vintners,Semiconductors,Consumer Staples,Information Technology
CTAS-SRCL,CTAS,SRCL,97.32313904009924,0.15789937642604449,9.2799999999999994,177809.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
LSI-UPS,LSI,UPS,95.53406255391324,0.22327678158637695,10.24,1024326.0,Semiconductors,Air Freight & Logistics,Information Technology,Industrials
SIAL-SRCL,SIAL,SRCL,87.58495006052726,0.2655783281993957,8.5600000000000005,177809.0,Diversified Chemicals,Industrial Conglomerates,Materials,Industrials
LLL-LSI,LLL,LSI,84.90330701503295,0.20309249464389292,8.5600000000000005,252295.0,Industrial Conglomerates,Semiconductors,Industrials,Information Technology
JEC-LSI,JEC,LSI,84.85196644409599,0.22853891556676828,8.3200000000000003,302781.0,Industrial Conglomerates,Semiconductors,Industrials,Information Technology
GWW-IFF,GWW,IFF,84.47342113181548,0.20630346461439028,8.1199999999999992,164880.0,Industrial Materials,Specialty Chemicals,Industrials,Materials
GPC-SRCL,GPC,SRCL,84.33111148213774,0.21819911759401095,8.8800000000000008,177809.0,Specialty Stores,Industrial Conglomerates,Consumer Discretionary,Industrials
SHW-WAT,SHW,WAT,83.19458435909303,0.19881086139871373,8.4800000000000004,171164.0,Specialty Chemicals,Health Care Distributors & Services,Materials,Health Care
PPG-SHW,PPG,SHW,82.72045120544689,0.1671842725770179,8.3599999999999994,209423.0,Diversified Chemicals,Specialty Chemicals,Materials,Materials
PX-SIAL,PX,SIAL,82.00764106651445,0.20028333722683392,8.1999999999999993,249591.0,Industrial Gases,Diversified Chemicals,Materials,Materials
ARG-GWW,ARG,GWW,81.8140212607486,0.26301100936063676,8.0,143916.0,Industrial Gases,Industrial Materials,Materials,Industrials
SRCL-VAR,SRCL,VAR,81.75115719378114,0.19025551541459659,7.5599999999999996,177809.0,Industrial Conglomerates,Health Care Equipment & Services,Industrials,Health Care
R-TMK,R,TMK,81.43078769407086,0.14826644488380145,8.4800000000000004,153397.0,Industrial Conglomerates,Life & Health Insurance,Industrials,Financials
AIZ-SRCL,AIZ,SRCL,80.89051720596376,0.1452315424529379,8.0,177809.0,Multi-line Insurance,Industrial Conglomerates,Financials,Industrials
