symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
ACT-MRK,ACT,MRK,,,Pharmaceuticals,Pharmaceuticals,Health Care,Health Care
ACT-FRX,ACT,FRX,-8.597458984842142,7.014497691239633e-14,Pharmaceuticals,Pharmaceuticals,Health Care,Health Care
CBS-IFF,CBS,IFF,-7.394315205020507,7.850924958351409e-11,Broadcasting & Cable TV,Specialty Chemicals,Consumer Discretionary,Materials
CMCSA-TWC,CMCSA,TWC,-7.30481144248827,1.309933358585467e-10,Broadcasting & Cable TV,Broadcasting & Cable TV,Consumer Discretionary,Consumer Discretionary
GD-IFF,GD,IFF,-7.057261480130984,5.335368001930423e-10,Aerospace & Defense,Specialty Chemicals,Industrials,Materials
ALTR-QEP,ALTR,QEP,-6.237900030884458,4.775614743079041e-08,Semiconductors,Oil & Gas Exploration & Production,Information Technology,Energy
A-PBI,A,PBI,-6.236086325157437,4.8218389639714034e-08,Health Care Equipment & Services,Data Processing Services,Health Care,Industrials
IFF-PBI,IFF,PBI,-6.164690121142963,7.036258477097977e-08,Specialty Chemicals,Data Processing Services,Materials,Industrials
AMP-LNC,AMP,LNC,-5.985537693318312,1.7959303315401026e-07,Diversified Financial Services,Multi-line Insurance,Financials,Financials
C-QEP,C,QEP,-5.9384147506634655,2.2914957938323923e-07,Banks,Oil & Gas Exploration & Production,Financials,Energy
BEN-PBI,BEN,PBI,-5.832300183722587,3.949160155547223e-07,Diversified Financial Services,Data Processing Services,Financials,Industrials
FITB-PNC,FITB,PNC,-5.828867551209247,4.0188884241289605e-07,Banks,Banks,Financials,Financials
CB-TIF,CB,TIF,-5.8185650527342805,4.2354774129942976e-07,Property & Casualty Insurance,"Apparel, Accessories & Luxury Goods",Financials,Consumer Discretionary
FFIV-QEP,FFIV,QEP,-5.786629393277153,4.981958428611172e-07,Networking Equipment,Oil & Gas Exploration & Production,Information Technology,Energy
LNC-PRU,LNC,PRU,-5.760241684546951,5.69454628550768e-07,Multi-line Insurance,Diversified Financial Services,Financials,Financials
ACE-MON,ACE,MON,-5.747037543892377,6.087592979876142e-07,Property & Casualty Insurance,Fertilizers & Agricultural Chemicals,Financials,Materials
FLR-PBI,FLR,PBI,-5.691711637907878,8.043007125916164e-07,Diversified Commercial Services,Data Processing Services,Industrials,Industrials
CMS-NU,CMS,NU,-5.673286162546696,8.821292348066934e-07,Multi-Utilities & Unregulated Power,Multi-Utilities & Unregulated Power,Utilities,Utilities
F-QEP,F,QEP,-5.629537221134892,1.0975470562079605e-06,Automobile Manufacturers,Oil & Gas Exploration & Production,Consumer Discretionary,Energy
EBAY-TXT,EBAY,TXT,-5.606725064770712,1.2294272102636516e-06,Internet Software & Services,Industrial Conglomerates,Information Technology,Industrials
AMP-PRU,AMP,PRU,-5.590426012249333,1.3329934847964626e-06,Diversified Financial Services,Diversified Financial Services,Financials,Financials
BLL-OMC,BLL,OMC,-5.581467616220715,1.3934891170067586e-06,Metal & Glass Containers,Advertising,Materials,Consumer Discretionary
COV-GD,COV,GD,-5.571418357259876,1.4645382551810157e-06,Health Care Equipment & Services,Aerospace & Defense,Health Care,Industrials
IFF-RHT,IFF,RHT,-5.538349517820814,1.7241603657718033e-06,Specialty Chemicals,Systems Software,Materials,Information Technology
AFL-CTSH,AFL,CTSH,-5.5377344325281275,1.7293909109122123e-06,Life & Health Insurance,IT Consulting & Services,Financials,Information Technology
FLR-FOXA,FLR,FOXA,-5.490281268868854,2.183091051551204e-06,Diversified Commercial Services,Publishing,Industrials,Consumer Discretionary
AIG-QEP,AIG,QEP,-5.479304326097281,2.3035009569021567e-06,Property & Casualty Insurance,Oil & Gas Exploration & Production,Financials,Energy
CBG-QEP,CBG,QEP,-5.474700670763094,2.355902203325797e-06,Real Estate Management & Development,Oil & Gas Exploration & Production,Financials,Energy
GLW-QEP,GLW,QEP,-5.436570839698579,2.8368790069770925e-06,Construction & Engineering,Oil & Gas Exploration & Production,Industrials,Energy
ALL-DRI,ALL,DRI,-5.426296603447903,2.9820271089660564e-06,Property & Casualty Insurance,Restaurants,Financials,Consumer Discretionary
STI-USB,STI,USB,-5.416868159023656,3.1215635037659983e-06,Banks,Banks,Financials,Financials
CA-THC,CA,THC,-5.408385373257272,3.2525147119327877e-06,Systems Software,Health Care Facilities,Information Technology,Health Care
BEN-ETN,BEN,ETN,-5.398029598268974,3.4196313133840484e-06,Diversified Financial Services,Industrial Conglomerates,Financials,Industrials
EMN-JCI,EMN,JCI,-5.384292814507285,3.6542350147306365e-06,Diversified Chemicals,Auto Parts & Equipment,Materials,Consumer Discretionary
FITB-SLM,FITB,SLM,-5.380738338680566,3.7174429638485714e-06,Banks,Diversified Financial Services,Financials,Financials
NOC-SYY,NOC,SYY,-5.3801206330821705,3.7285352118415284e-06,Aerospace & Defense,Food Distributors,Industrials,Consumer Staples
LM-TDC,LM,TDC,-5.379005643173032,3.7486387503664444e-06,Diversified Financial Services,Application Software,Financials,Information Technology
AVP-NOV,AVP,NOV,-5.3666472760019674,3.978636349288917e-06,Personal Products,Oil & Gas Equipment & Services,Consumer Staples,Energy
FOXA-PBI,FOXA,PBI,-5.361086374695687,4.086546586172724e-06,Publishing,Data Processing Services,Consumer Discretionary,Industrials
PPG-SNI,PPG,SNI,-5.348478498565714,4.341838897630695e-06,Diversified Chemicals,Broadcasting & Cable TV,Materials,Consumer Discretionary
AVP-NBL,AVP,NBL,-5.348411854573765,4.343228649394309e-06,Personal Products,Oil & Gas Exploration & Production,Consumer Staples,Energy
